Subject,Class,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-D|4,T2-I|4+5,T2-PF|4+5,T2-RF|4+5,T2-D|5,T2-I|5+6,T2-PF|5+6,T2-RF|5+6,T2-D|6,T2-I|6+7,T2-PF|6+7,T2-RF|6+7,T2-D|7,T2-I|7+8,T2-PF|7+8,T2-RF|7+8,T2-D|8,T2-I|8+9,T2-PF|8+9,T2-RF|8+9,T2-D|9
qikai,6,siting yah,0.104736805,0.222631931,0.141983509,0.117895126,0.080648422,0.20421958,0.121864319,0.123571157,0.082355261,0.220629454,0.144416809,0.138274193,0.076212645,0.226422548,0.146430016,0.150209904,0.079992533,0.160681009,0.053575039,0.080688477,0.10710597,0.192254305,0.083788157,0.085148335,0.108466148,0.242572308,0.163553238,0.134106159,0.07901907,0.171799183,0.073002577,0.092780113,0.098796606,0.199023724,0.112409115,0.100227118,0.086614609
qikai,5,bromo oles,0.094253063,0.248093843,0.137450218,0.15384078,0.110643625,0.17549181,0.10001421,0.064848185,0.0754776,0.202492952,0.136674881,0.127015352,0.065818071,0.183918476,0.113591194,0.118100405,0.070327282,0.187789917,0.061327457,0.117462635,0.12646246,0.218396902,0.148831367,0.091934443,0.069565535,0.22508502,0.144001722,0.155519485,0.081083298,0.163041115,0.042323589,0.081957817,0.120717525,0.165634155,0.065925121,0.04491663,0.099709034
qikai,5,wiper muff,0.107894897,0.195218086,0.128703833,0.087323189,0.066514254,0.242994547,0.170358181,0.176480293,0.072636366,0.153590679,0.047996998,0.080954313,0.105593681,0.162471771,0.080144882,0.05687809,0.082326889,0.159412622,0.050471067,0.077085733,0.108941555,0.138391733,0.056081295,0.029450178,0.082310438,0.217512369,0.159265995,0.135201931,0.058246374,0.09168911,0.04249835,0.033442736,0.04919076,0.192740679,0.103762627,0.143549919,0.088978052
qikai,6,idylls lot,0.084231615,0.210342407,0.105790615,0.126110792,0.104551792,0.216127872,0.139007092,0.11157608,0.077120781,0.333684683,0.28262043,0.256563902,0.051064253,0.194383144,0.111986399,0.143318892,0.082396746,0.152714968,0.050126076,0.070318222,0.102588892,0.203398705,0.10558486,0.100809813,0.097813845,0.209773302,0.139640331,0.111959457,0.070132971,0.212680578,0.138518095,0.142547607,0.074162483,0.123464108,0.050953388,0.049301624,0.072510719
qikai,4,arco herem,0.059472322,0.171717167,0.112619877,0.112244844,0.05909729,0.277840376,0.176708937,0.218743086,0.101131439,0.168163061,0.104133129,0.067031622,0.064029932,0.179697037,0.066030502,0.115667105,0.113666534,0.24174881,0.174819708,0.128082275,0.066929102,0.183866739,0.073841333,0.116937637,0.110025406,0.191278934,0.078961134,0.081253529,0.112317801,0.185573578,0.08808279,0.073255777,0.097490788,0.206265688,0.13325429,0.1087749,0.073011398
qikai,5,ogles fred,0.064315796,0.118233442,0.060002804,0.053917646,0.058230639,0.185892105,0.118966341,0.127661467,0.066925764,0.185035706,0.031312227,0.118109941,0.153723478,0.167776346,0.066983461,0.014052868,0.100792885,0.195890665,0.089691639,0.09509778,0.106199026,0.218909264,0.093219757,0.112710238,0.125689507,0.218518972,0.098870516,0.092829466,0.119648457,0.24232316,0.150895834,0.122674704,0.091427326,0.252372026,0.172492027,0.1609447,0.079879999
qikai,4,boob dunno,0.136337757,0.193153381,0.139343262,0.056815624,0.05381012,0.201568604,0.120767832,0.147758484,0.080800772,0.099802017,0.016257286,0.019001245,0.083544731,0.240331411,0.139564276,0.15678668,0.100767136,0.199529409,0.07919383,0.098762274,0.120335579,0.279297352,0.221517801,0.158961773,0.057779551,0.241266489,0.179214239,0.183486938,0.06205225,0.185242414,0.11807847,0.123190165,0.067163944,0.207483768,0.145367622,0.140319824,0.062116146
qikai,5,thief loaf,0.086340904,0.172620535,0.088342905,0.086279631,0.08427763,0.266844749,0.195846081,0.18256712,0.070998669,0.218670368,0.088004589,0.1476717,0.130665779,0.278907061,0.133666039,0.148241282,0.145241022,0.254682541,0.134743452,0.109441519,0.119939089,0.246393681,0.155421972,0.126454592,0.090971708,0.244948626,0.165791035,0.153976917,0.079157591,0.157330275,0.064764977,0.078172684,0.092565298,0.196890593,0.065951109,0.104325294,0.130939484
qikai,5,cheat seer,0.103715897,0.215801239,0.140740871,0.112085342,0.075060368,0.17480588,0.072957754,0.099745512,0.101848125,0.252945185,0.135948658,0.151097059,0.116996527,0.264343977,0.144748688,0.14734745,0.119595289,0.193052769,0.102374077,0.073457479,0.090678692,0.665466547,0.574926853,0.574787855,0.090539694,0.213543177,0.124232054,0.123003483,0.089311123,0.275708914,0.145320892,0.186397791,0.130388021,0.210009098,0.104016304,0.079621077,0.105992794
qikai,3,men snoozy,0.108026266,0.201555967,0.089490414,0.093529701,0.112065554,0.191065788,0.126067877,0.079000235,0.064997911,0.164001703,0.056998014,0.099003792,0.107003689,0.166000128,0.054999113,0.058996439,0.111001015,0.186583281,0.107001066,0.075582266,0.079582214,0.252391577,0.18839407,0.172809362,0.063997507,0.192050219,0.111452818,0.128052711,0.080597401,0.203491688,0.095632315,0.122894287,0.107859373,0.275934219,0.196962833,0.168074846,0.078971386
qikai,6,regrip lea,0.154525995,0.200163603,0.083539248,0.045637608,0.116624355,0.270111561,0.132571459,0.153487206,0.137540102,0.195574284,0.098742723,0.058034182,0.09683156,0.166828871,0.089830637,0.069997311,0.076998234,0.251609564,0.183375597,0.17461133,0.068233967,0.189713001,0.06623435,0.121479034,0.123478651,0.243502378,0.161535978,0.120023727,0.0819664,0.146057606,0.041699171,0.064091206,0.104358435,0.159707069,0.069508314,0.055348635,0.090198755
qikai,6,tyroma doe,0.092274904,0.299271107,0.219235659,0.206996202,0.080035448,0.693884611,0.583847046,0.613849163,0.110037565,0.290186644,0.218695402,0.180149078,0.071491241,0.292048216,0.212595701,0.220556974,0.079452515,0.21132946,0.098058939,0.131876945,0.113270521,0.219334364,0.115733147,0.106063843,0.103601217,0.18832469,0.141410351,0.084723473,0.046914339,0.155002594,0.073341608,0.108088255,0.081660986,0.192982912,0.121857643,0.111321926,0.071125269
