,Results,Prediction,Accuracy,"cy, jc, jonah 113/144"
386,ys,jc,0.9996315,Nope
387,ys,jc,0.9996288,Nope
388,ys,jc,0.9991443,Nope
389,ys,jc,0.9996037,Nope
390,ys,jc,0.9992268,Nope
391,ys,jc,0.984029,Nope
392,ys,jc,0.99924976,Nope
393,ys,jc,0.99674714,Nope
394,ys,jc,0.9136702,Nope
395,ys,jc,0.99406874,Nope
396,ys,jc,0.9996263,Nope
397,ys,jc,0.99937385,Nope
398,ys,jc,0.9995702,Nope
399,ys,jc,0.99950886,Nope
400,ys,jc,0.88770133,Nope
401,ys,jc,0.9995677,Nope
402,ys,jc,0.99947315,Nope
403,ys,jc,0.9955037,Nope
404,ys,jc,0.9995647,Nope
405,ys,jc,0.9989202,Nope
406,ys,jc,0.88527244,Nope
407,ys,jc,0.9993192,Nope
408,ys,jc,0.99957436,Nope
409,ys,jc,0.9994486,Nope
410,ys,jc,0.9994753,Nope
411,ys,jc,0.99906796,Nope
412,ys,jc,0.9876759,Nope
413,ys,jc,0.9995839,Nope
414,ys,jc,0.9996051,Nope
415,ys,jc,0.9995598,Nope
416,ys,jc,0.9995951,Nope
417,ys,jc,0.999482,Nope
418,ys,jc,0.9926158,Nope
419,ys,jc,0.99960154,Nope
420,ys,jc,0.998814,Nope
421,ys,jc,0.98960763,Nope
422,ys,jc,0.9994382,Nope
423,ys,jc,0.99251336,Nope
424,ys,jc,0.9990294,Nope
425,ys,jc,0.9972583,Nope
426,ys,jc,0.99945956,Nope
427,ys,jc,0.9941069,Nope
428,ys,jc,0.99940157,Nope
429,ys,jc,0.99327314,Nope
430,ys,jc,0.9995591,Nope
431,ys,jc,0.99933714,Nope
432,zen,cy,0.99613696,Nope
433,zen,cy,0.9940468,Nope
434,zen,jc,0.6361169,Nope
435,zen,cy,0.9960633,Nope
436,zen,cy,0.8359505,Nope
437,zen,jc,0.9937562,Nope
438,zen,cy,0.9970726,Nope
439,zen,cy,0.9960396,Nope
440,zen,cy,0.8021948,Nope
441,zen,cy,0.9998217,Nope
442,zen,cy,0.99754286,Nope
443,zen,jc,0.99007976,Nope
444,zen,cy,0.9362479,Nope
445,zen,cy,0.9914398,Nope
446,zen,cy,0.9999578,Nope
447,zen,cy,0.9998987,Nope
448,zen,cy,0.9999155,Nope
449,zen,jonah,0.9994,Nope
450,zen,cy,0.98142815,Nope
451,zen,cy,0.99963975,Nope
452,zen,cy,0.9999789,Nope
453,zen,cy,0.99997854,Nope
454,zen,cy,0.9999782,Nope
455,zen,jc,0.5291182,Nope
456,zen,jc,0.53739184,Nope
457,zen,cy,0.99061745,Nope
458,zen,cy,0.99934703,Nope
459,zen,cy,0.9999728,Nope
460,zen,cy,0.9999782,Nope
461,zen,jc,0.9400787,Nope
462,zen,cy,0.81185746,Nope
463,zen,cy,0.9850321,Nope
464,zen,cy,0.99993587,Nope
465,zen,cy,0.9999771,Nope
466,zen,cy,0.9999782,Nope
467,zen,jc,0.5113817,Nope
468,zen,jc,0.9140461,Nope
469,zen,cy,0.5856504,Nope
470,zen,cy,0.99765426,Nope
471,zen,cy,0.9970252,Nope
472,zen,cy,0.99996245,Nope
473,zen,cy,0.9999738,Nope
474,zen,jonah,0.84944224,Nope
475,zen,jonah,0.99431676,Nope
476,zen,jonah,0.958096,Nope
477,zen,jonah,0.97622436,Nope
478,zen,jonah,0.9993105,Nope
479,zen,jonah,0.9899074,Nope
