,Results,Prediction,Accuracy,"cy, jonah, zen, 90/144"
379,qikai,jonah,0.9998331,Nope
380,qikai,jonah,0.99987113,Nope
381,qikai,jonah,0.999879,Nope
382,qikai,jonah,0.9998733,Nope
383,qikai,jonah,0.9998764,Nope
384,ys,jonah,0.9412671,Nope
385,ys,jonah,0.8582786,Nope
386,ys,jonah,0.98216933,Nope
387,ys,jonah,0.9997291,Nope
388,ys,jonah,0.9998777,Nope
389,ys,jonah,0.9998252,Nope
390,ys,jonah,0.9982823,Nope
391,ys,jonah,0.9997793,Nope
392,ys,jonah,0.9997813,Nope
393,ys,jonah,0.9998548,Nope
394,ys,jonah,0.9998791,Nope
395,ys,jonah,0.9998609,Nope
396,ys,jonah,0.9232656,Nope
397,ys,jonah,0.9998679,Nope
398,ys,jonah,0.99981683,Nope
399,ys,jonah,0.9998567,Nope
400,ys,jonah,0.99988115,Nope
401,ys,jonah,0.9998683,Nope
402,ys,cy,0.70557463,Nope
403,ys,jonah,0.9998211,Nope
404,ys,jonah,0.992339,Nope
405,ys,jonah,0.9994305,Nope
406,ys,jonah,0.99987876,Nope
407,ys,jonah,0.99973947,Nope
408,ys,jonah,0.8957,Nope
409,ys,jonah,0.99985194,Nope
410,ys,jonah,0.99459225,Nope
411,ys,jonah,0.99843067,Nope
412,ys,jonah,0.9998791,Nope
413,ys,jonah,0.99982613,Nope
414,ys,jonah,0.91760355,Nope
415,ys,jonah,0.9998534,Nope
416,ys,jonah,0.99636465,Nope
417,ys,jonah,0.9993961,Nope
418,ys,jonah,0.99987936,Nope
419,ys,jonah,0.9998342,Nope
420,ys,jonah,0.9998411,Nope
421,ys,jonah,0.9998772,Nope
422,ys,jonah,0.9998385,Nope
423,ys,jonah,0.9998704,Nope
424,ys,jonah,0.9998691,Nope
425,ys,jonah,0.99987423,Nope
426,ys,jonah,0.8311343,Nope
427,ys,jonah,0.9998492,Nope
428,ys,jonah,0.9828403,Nope
429,ys,jonah,0.9992893,Nope
430,ys,jonah,0.99940515,Nope
431,ys,jonah,0.999818,Nope
432,zen,cy,0.9996581,Nope
433,zen,cy,0.9629879,Nope
434,zen,zen,0.9861827,Match
435,zen,cy,0.9761203,Nope
436,zen,cy,0.9420761,Nope
437,zen,zen,0.98599887,Match
438,zen,cy,0.99952805,Nope
439,zen,zen,0.93417805,Match
440,zen,zen,0.99975306,Match
441,zen,cy,0.99839395,Nope
442,zen,cy,0.9919303,Nope
443,zen,zen,0.99795663,Match
444,zen,cy,0.9996966,Nope
445,zen,cy,0.9972275,Nope
446,zen,zen,0.62375623,Match
447,zen,cy,0.99969435,Nope
448,zen,cy,0.99964,Nope
449,zen,zen,0.6682527,Match
450,zen,cy,0.9151904,Nope
451,zen,zen,0.9809296,Match
452,zen,zen,0.9977851,Match
453,zen,cy,0.99941003,Nope
454,zen,cy,0.99939287,Nope
455,zen,zen,0.9997639,Match
456,zen,cy,0.91678995,Nope
457,zen,zen,0.8398568,Match
458,zen,cy,0.9995559,Nope
459,zen,cy,0.9213665,Nope
460,zen,cy,0.9993806,Nope
461,zen,zen,0.9998018,Match
462,zen,cy,0.9994873,Nope
463,zen,cy,0.741164,Nope
464,zen,cy,0.9996146,Nope
465,zen,cy,0.99947256,Nope
466,zen,cy,0.9996,Nope
467,zen,zen,0.91560966,Match
468,zen,cy,0.9958039,Nope
469,zen,cy,0.64150184,Nope
470,zen,cy,0.99960905,Nope
471,zen,cy,0.9995628,Nope
472,zen,zen,0.9248957,Match
473,zen,cy,0.99967897,Nope
474,zen,zen,0.64655894,Match
475,zen,jonah,0.75428385,Nope
476,zen,cy,0.9969217,Nope
477,zen,zen,0.99453354,Match
478,zen,zen,0.9983272,Match
479,zen,zen,0.46009618,Match
