Subject,Class,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,D|1,I|1+2,PF|1+2,RF|1+2,D|2,I|2+3,PF|2+3,RF|2+3,D|3,I|3+4,PF|3+4,RF|3+4,D|4,I|4+5,PF|4+5,RF|4+5,D|5,I|5+6,PF|5+6,RF|5+6,D|6,I|6+7,PF|6+7,RF|6+7,D|7,I|7+8,PF|7+8,RF|7+8,D|8,I|8+9,PF|8+9,RF|8+9,D|9
5,5,cable long,0.157131195,0.312603712,0.218438148,0.155472517,0.094165564,0.296839476,0.188440561,0.202673912,0.108398914,0.170828819,0.123756886,0.062429905,0.047071934,0.156290054,0.094403267,0.109218121,0.061886787,0.26538682,0.156190157,0.203500032,0.109196663,0.203259468,0.14110446,0.094062805,0.062155008,0.23374033,0.171808004,0.171585321,0.061932325,0.155833721,0.061932325,0.093901396,0.093901396,0.140495062,0.062307119,0.046593666,0.078187943
5,5,tikes pate,0.10843873,0.139506817,0.076959372,0.031068087,0.062547445,0.265934706,0.172259092,0.20338726,0.093675613,0.186730146,0.125154018,0.093054533,0.061576128,0.25009656,0.155194044,0.188520432,0.094902515,0.266854286,0.188158512,0.171951771,0.078695774,0.21839571,0.14091754,0.139699936,0.07747817,0.18735218,0.093694448,0.10987401,0.093657732,0.234232426,0.140654802,0.140574694,0.093577623,0.171941042,0.046318054,0.078363419,0.125622988
5,5,whore rang,0.078493357,0.125068903,0.093562126,0.046575546,0.031506777,0.141479969,0.063376904,0.109973192,0.078103065,0.202376604,0.124213457,0.124273539,0.078163147,0.140742779,0.031842709,0.062579632,0.10890007,0.375772476,0.250339985,0.266872406,0.125432491,0.358636856,0.280199051,0.233204365,0.078437805,0.219232798,0.109786272,0.140794992,0.109446526,0.187788248,0.094519854,0.078341722,0.093268394,0.186563492,0.108810425,0.093295097,0.077753067
5,5,pasta bike,0.062319756,0.266486645,0.140691996,0.204166889,0.125794649,0.266022444,0.172466755,0.140227795,0.093555689,0.265033484,0.187167168,0.171477795,0.077866316,0.234309673,0.124533415,0.156443357,0.109776258,0.31254673,0.219083786,0.202770472,0.093462944,0.390975714,0.281604528,0.29751277,0.109371185,0.15564847,0.093851089,0.046277285,0.06179738,0.233496666,0.155602217,0.171699286,0.077894449,0.172556162,0.093773365,0.094661713,0.078782797
6,6,spiffs wry,0.109368563,0.203015566,0.140945673,0.093647003,0.062069893,0.249337912,0.17125392,0.187268019,0.078083992,0.266464472,0.187351704,0.18838048,0.079112768,0.235276461,0.125112295,0.156163692,0.110164165,0.251297474,0.156810284,0.141133308,0.09448719,0.312451839,0.234963894,0.217964649,0.077487946,0.436604738,0.342364073,0.359116793,0.094240665,0.235385418,0.140853405,0.141144753,0.094532013,0.203478575,0.140492201,0.108946562,0.062986374
6,6,tomtom wok,0.10946846,0.234281063,0.124703884,0.124812603,0.109577179,0.188155651,0.078768015,0.078578472,0.109387636,0.452701092,0.327480316,0.343313456,0.125220776,0.188252211,0.078102827,0.063031435,0.110149384,0.203392267,0.062779665,0.093242884,0.140612602,0.718784809,0.62522912,0.578172207,0.093555689,0.203287125,0.125212193,0.109731436,0.078074932,0.202718258,0.124762774,0.124643326,0.077955484,0.359728336,0.24952507,0.281772852,0.110203266
6,6,donned jet,0.125184298,0.234744072,0.156211138,0.109559774,0.078532934,0.406936646,0.313921213,0.328403711,0.093015432,0.420422316,0.327958822,0.327406883,0.092463493,0.717274904,0.623801947,0.624811411,0.093472958,0.281902313,0.20375967,0.188429356,0.078142643,0.280439615,0.187272072,0.202296972,0.093167543,0.218507051,0.124237299,0.125339508,0.094269753,0.328272581,0.219836473,0.234002829,0.108436108,0.202722788,0.093375444,0.09428668,0.109347343
6,6,triple big,0.046282291,0.26444602,0.171978951,0.218163729,0.09246707,0.186713696,0.107824802,0.094246626,0.078888893,0.219511509,0.156904221,0.140622616,0.062607288,0.26538372,0.171499729,0.202776432,0.093883991,0.234250307,0.172317505,0.140366316,0.061932802,0.327836752,0.21823144,0.26590395,0.109605312,0.68778348,0.593945026,0.578178167,0.093838453,0.172713041,0.108813286,0.078874588,0.063899755,0.188027382,0.095263481,0.124127626,0.092763901
6,6,snowed aah,0.093536377,0.187249422,0.124646902,0.093713045,0.06260252,0.18765521,0.125367641,0.125052691,0.062287569,0.360453606,0.219096422,0.298166037,0.141357183,0.233670235,0.110141277,0.092313051,0.123528957,0.358247995,0.233578682,0.234719038,0.124669313,0.328248978,0.218421221,0.203579664,0.109827757,0.234127283,0.15631032,0.124299526,0.077816963,0.280843019,0.172077179,0.203026056,0.108765841,0.218697309,0.124705315,0.109931469,0.093991995
6,6,pepper aim,0.077640295,0.233294249,0.155843973,0.155653954,0.077450275,0.375920296,0.328490496,0.29847002,0.0474298,0.202608347,0.1239779,0.155178547,0.078630447,0.281335354,0.141225815,0.202704906,0.140109539,0.186993837,0.062735081,0.046884298,0.124258757,0.563017607,0.452849627,0.43875885,0.11016798,0.25033474,0.125466824,0.140166759,0.124867916,0.219204426,0.140767574,0.09433651,0.078436852,0.155715227,0.061623335,0.077278376,0.094091892
